,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,6,9,6,5,6,7,10,7,6,2,7,4,4,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,3,4,6,3,0,9,7,5,4,5,1,4,3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,5,5,5,0,4,7,6,2,4,7,3,2
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,7,5,5,0,0,1,6,4,2,6,5,3
