,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,7,3,9,5,9,3,0,4,4,8,0,4,5,0,6
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,6,5,3,2,7,1,6,3,7,1,8,2,10,6
2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,9,4,10,4,3,5,6,0,0,0,5,10,0,3,0
3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,8,5,6,6,8,1,3,2,7,4,8,3,8,2,6
